locations,latitude,longitude,country
"Bungay, Suffolk",52.4562248,1.4373413,United Kingdom
"Faversham, Kent",51.3144088,0.8911894,United Kingdom
"Bristol, Gloucestershire",51.8527674,-2.2553694,United Kingdom
"Round Rock, Texas",30.508235,-97.6788934,United States of America
"Brooklyn, New York",40.6501038,-73.9495823,United States of America
"Cincinnati, Ohio",39.1014537,-84.5124602,United States of America
"Downingtown, Pennsylvania",40.0064958,-75.7032742,United States of America
"Coronado, California",32.6915199,-117.1766947,United States of America
"Bury St. Edmunds, Suffolk",52.2460367,0.7125173,United Kingdom
"Chiswick, Greater London",51.4923137,-0.263818,United Kingdom
"Wainfleet, Lincolnshire",53.105126,0.2345366,United Kingdom
"Mainz, Rhineland-Palatinate",50.0012314,8.2762513,Germany
"Southwold, Suffolk",52.3266586,1.6794539,United Kingdom
"Bremen, Bremen",53.0758196,8.8071646,
"Oldenburg, Lower Saxony",53.1389753,8.2146017,Germany
"Grand Rapids, Michigan",42.9632405,-85.6678639,United States of America
"Leeds, West Yorkshire",53.7974185,-1.5437941,United Kingdom
"Frederick, Maryland",39.4142186,-77.4109269,United States of America
"Munich, Bavaria",48.1371079,11.5753822,Germany
"Comstock, Michigan",42.2867083,-85.5133374,United States of America
"Pompano Beach, Florida",26.2378597,-80.1247667,United States of America
"Canmore, Alberta",51.0866897,-115.3481135,Canada
"San Francisco, California",37.7790262,-122.4199061,United States of America
"Aldergrove, British Columbia",49.0596635,-122.4922381,Canada
"Vancouver, British Columbia",49.2608724,-123.1139529,Canada
"Victoria, British Columbia",48.4283182,-123.3649533,Canada
"Chilliwack, British Columbia",49.157677,-121.9514307,Canada
"Bowburn, Durham",54.7395825,,
"Kamloops, British Columbia",50.6758269,-120.3394159,Canada
"Glenwood Springs, Colorado",39.5507448,-107.3255001,United States of America
"Stockport, Greater Manchester",53.407901,-2.160243,United Kingdom
"Badley, Suffolk",52.1715362,1.0209354,United Kingdom
"Skælskør, Denmark",55.2521101,11.2942011,Denmark
"Nishikanbara-gun, Niigata-ken, Japan",,,
"Portland, Oregon",45.5202471,-122.6741949,United States of America
"Manchester, Greater Manchester",53.4794892,-2.2451148,United Kingdom
"Piozzo, Italy",44.5156548,7.892257,Italy
"San Antonio, Texas",29.4246002,-98.4951405,United States of America
"Port Townsend, Washington",48.1185325,-122.7679629,United States of America
"Ottawa, Ontario",45.421106,-75.690308,Canada
"Torrance, California",33.8358492,-118.3406288,United States of America
"Barrie, Ontario",44.3893113,-79.6901736,Canada
"Aschaffenburg, Bavaria",49.9740542,9.1493636,Germany
"Boston, Massachusetts",42.3602534,-71.0582912,United States of America
"Elk Grove Village, Illinois",,-88.00399428423424,
"Keene, New Hampshire",42.933597,-72.2784264,United States of America
"Fort Collins, Colorado",40.5508527,-105.0668085,United States of America
"Longmont, Colorado",40.1672117,-105.1019287,United States of America
"East Stroudsburg, Pennsylvania",40.9995386,-75.1812913,United States of America
"Tinley Park, Illinois",41.5733669,-87.7844944,United States of America
"Greeley, Colorado",40.4233142,-104.7091322,United States of America
"Waunakee, Wisconsin",43.1919373,-89.4556749,United States of America
"Edmonton, Alberta",53.535411,-113.507996,Canada
"Santa Rosa, California",38.4404925,-122.7141049,United States of America
"Warrenton, Virginia",38.7135498,-77.795367,United States of America
"Newington, New Hampshire",43.100482,-70.834351,United States of America
"Mamaroneck, New York",40.9487097,-73.7326309,United States of America
"Chicago, Illinois",41.8755616,-87.6244212,United States of America
"St. Louis, Missouri",38.6529545,-90.24111656024635,United States of America
"Eau Claire, Wisconsin",44.811349,-91.4984941,United States of America
"Farmingdale, New York",40.7356738,-73.4417524,United States of America
"Rigaud, Quebec",45.4794481,-74.3019608,Canada
"Auburn, California",38.8945939,-121.0739897,United States of America
"Arvada, Colorado",39.8211225,-105.22074299044587,United States of America
"Dunham, Quebec",45.130469,-72.800903,Canada
"Denver, Colorado",39.7392364,-104.9848623,United States of America
"Richmond, Virginia",37.5385087,-77.43428,United States of America
"Escondido, California",33.1216751,-117.0814849,United States of America
"Bedford, Bedfordshire",52.1363806,-0.4675041,United Kingdom
"Burlington, Ontario",43.3248924,-79.7966835,Canada
"Baltimore, Maryland",39.2908816,-76.610759,United States of America
"Asheville, North Carolina",35.6009498,-82.5540161,United States of America
"Paso Robles, California",35.6267654,-120.6912456,United States of America
"Eureka, California",40.8020712,-124.1636729,United States of America
"Cherry Hill, New Jersey",39.9348351,-75.0307264,United States of America
"Anaheim, California",33.8347516,-117.911732,United States of America
"San Diego, California",32.7174209,-117.1627714,United States of America
